#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Eu/Fe]
7  BD+191185       -1.130   +0.390
7  BD+521601       -1.370   +0.350
7  BD-010306       -1.130   +0.350
7  BD-012582       -2.150   +0.610
7  G005-001       -1.260   +0.370
7  G009-036       -1.090   +0.420
7  G023-014       -1.605   +0.515
7  G028-043       -1.595   +0.555
7  G029-025       -0.985   +0.245
7  G058-025       -1.465   +0.295
7  G059-001       -0.970   +0.170
7  G063-046       -0.895   +0.335
7  G068-003       -0.760   +0.410
7  G074-005       -1.140   +0.400
7  G090-025       -1.785   +0.305
7  G095-57A       -1.185   +0.445
7  G102-020       -1.230   +0.400
7  G102-027       -0.560   +0.450
7  G113-022       -1.090   +0.450
7  G122-051       -1.360   +0.580
7  G123-009       -1.235   +0.515
7  G126-036       -0.990   +0.520
7  G140-046       -1.320   +0.400
7  G153-021       -0.675   +0.505
7  G176-053       -1.365   +0.535
7  G179-022       -1.310   +0.580
7  G180-024       -1.320   +0.230
7  G188-022       -1.435   +0.325
7  G191-055       -1.655   +0.255
7  G192-043       -1.445   +0.685
7  G221-007       -0.940   +0.320
7  HD002665       -2.015   +0.355
7  HD003008       -2.050   +0.450
7  HD006755       -1.625   +0.615
7  HD006833       -0.840   +0.430
7  HD008724       -1.800   +0.430
7  HD021581       -1.695   +0.375
7  HD023798       -2.215   +0.345
7  HD025532       -1.325   +0.175
7  HD026297       -1.870   +0.140
7  HD029574       -1.900   +0.760
7  HD037828       -1.520   +0.480
7  HD044007       -1.715   +0.265
7  HD063791       -1.785   +0.355
7  HD074462       -1.515   +0.615
7  HD082590       -1.320   +0.350
7  HD085773       -2.505   +0.155
7  HD101063       -1.300   +0.790
7  HD103036       -1.935   +0.335
7  HD103545       -2.305   +0.235
7  HD105546       -1.445   +0.375
7  HD105755       -0.835   +0.345
7  HD106516       -0.795   +0.245
7  HD107752       -2.685   +0.185
7  HD110184       -2.610   +0.390
7  HD115444       -2.805   +0.685
7  HD121135       -1.455   +0.245
7  HD122956       -1.820   +0.520
7  HD124358       -1.775   +0.325
7  HD135148       -2.120   +0.660
7  HD141531       -1.705   +0.475
7  HD165195       -2.440   +0.590
7  HD166161       -1.225   +0.235
7  HD171496       -0.655   +0.255
7  HD187111       -1.830   +0.440
7  HD194598       -1.120   +0.330
7  HD204543       -1.795   +0.305
7  HD206739       -1.665   +0.535
7  HD210295       -1.355   +0.505
7  HD218857       -1.955   +0.025
7  HD232078       -1.545   +0.315
7  HD233666       -1.800   +0.260
8  HD2796         -2.47    +0.11
8  BD+173248      -2.07    +0.93
8  BD-185550      -3.06    -0.20
8  BS17569-049    -2.88    +0.72
8  CS22186-025    -3.00    +0.54
8  CS22873-055    -2.99    -0.17
8  CS22873-166    -2.97    -0.30
8  CS22878-101    -3.25    -0.06
8  CS22891-209    -3.29    -0.09
8  CS22892-052    -3.03    +1.49
8  CS22896-154    -2.69    +0.86
8  CS22953-003    -2.84    +1.05
8  CS22966-057    -2.62    +0.41
8  CS29491-053    -3.04    -0.42
8  CS29495-041    -2.82    -0.09
8  CS29516-024    -3.06    -0.25
10 HIP60846   -2.36    0.33
10 HIP64786   -3.14    0.77
10 HIP88527   -2.31    0.44
10 HIP101740   -2.76    0.00
10 HIP3770   -2.48    0.25
10 HIP60892   -2.48    -0.68
10 HIP77739   -2.73    0.20
10 HD103113   -2.11    0.40
10 HIP81078   -2.28    0.10
10 HIP63385   -2.07    0.20
10 HIP85487   -2.10    0.75
10 HIP71087   -1.73    0.38
10 HIP434   -1.39    0.77
10 HIP43228   -1.56    0.32
10 HIP48516   -2.36    0.24
10 HIP74491   -1.90    0.58
10 HIP91182   -0.91    -0.15
10 HIP107337   -1.58    0.35
10 HIP115771   -1.65    0.30
10 HIP96599   -1.54    0.40
10 HD38964   -1.99    0.65
10 BDp6648   -2.10    0.29
10 HIP80822   -1.17    0.06
10 HIP47599   -1.65    0.47
10 HIP48444   -2.72    0.21
10 HIP88977   -1.30    0.10
10 HIP106095   -1.84    0.46
10 HD2796   -2.23    -0.06
10 HIP36640   -0.94    0.14
10 HIP37606   -0.29    -0.20
10 HIP37853   -1.15    0.38
10 HIP51523   -0.50    0.02
10 HIP57443   -0.35    0.00
10 HIP64577   -0.31    0.06
10 HIP68101   -0.53    0.15
10 HIP70519   -1.74    0.17
10 HIP75221   -1.92    0.39
10 HIP96508   -2.66    0.05
10 HR672   0.06    -0.07
10 HR2530   -0.43    0.06
10 HR4039   -0.38    0.09
10 HR4395   -0.11    0.15
10 HR6243   0.00    0.03

# References
# 1: Fulbright (2000)
# 2: Reddy et al. (2003)
# 3: Cohen et al. (2004)
# 4: Barklem et al. (2005)
# 5: Reddy et al. (2006)
# 6: Cayrel et al. (2004)
# 7: Simmerer et al. (2004)
# 9: Mishenina et al. (2013)
# 10: Venn et al. (2004)
