#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]
#1 HIP2413   -1.96    +0.25    
#1 HIP3026   -1.32    +0.27
#2    101		-0.29	 0.01	
#2   2663		-0.41	 0.07	
#2   3894		-0.38	 0.09	
#2   5494		-0.17	-0.07	
#2   5750		-0.39	 0.01	
#2   6840		-0.43	 0.11	
#2   7228		-0.12	 0.01	
#2  11592		-0.29	 0.03	
#2  15029		-0.31	 0.05	
#2  20717		-0.33	 0.06	
#2  21922		-0.48	 0.14	
#2  36909		-0.22	-0.06	
#2  41640		-0.56	 0.10	
#2  42618		-0.16	-0.07	
#2  54182		-0.24	 0.07	
#2  63332		 0.04	 0.07	
#2  76272		-0.42	 0.09	
#2  76349		-0.44	 0.08	
#2  77134		-0.29	 0.06	
#2  77408		-0.23	 0.11	
#2  85902		-0.53	 0.06	
#2  86560		-0.41	 0.09	
#2  90878		-0.24	 0.06	
#2  94012		-0.47	 0.05	
#2  94835		 0.05	 0.01	
#2  99233		-0.62	 0.10	
#2  99984		-0.35	 0.05	
#2 100446		-0.45	 0.11	
#2 102618		-0.31	 0.05	
#2 110989		-0.48	 0.33	
#2 118687		-0.45	 0.08	
#2 121560		-0.38	 0.04	
#2 124819		-0.28	-0.03	
#2 127667		-0.39	 0.08	
#2 131599		-0.44	 0.06	
#2 136925		-0.38	 0.21	
#2 140324		-0.36	 0.12	
#2 145937		-0.60	 0.11	
#2 146946		-0.37	 0.05	
#2 148049		-0.36	 0.09	
#2 152449		-0.05	 0.01	
#2 153627		-0.38	 0.11	
#2 153668		-0.22	-0.03	
#2 155646		-0.07	 0.07	
#2 156635		-0.10	 0.00	
#2 157466		-0.41	 0.02	
#2 157467		 0.11	 0.08	
#2 159333		-0.27	 0.03	
#2 163363		 0.00	 0.15	
#2 167588		-0.37	 0.08	
#2 169359		-0.31	 0.09	
#2 171620		-0.46	 0.06	
#2 174160		-0.09	 0.06	
#2 176796		-0.44	 0.10	
#2 182758		-0.53	 0.12	
#2 186408		 0.00	 0.01	
#2 190681		-0.08	-0.02	
#2 191649		-0.26	 0.01	
#2 191672		-0.46	 0.09	
#2 192145		-0.35	 0.09	
#2 193664		-0.19	 0.00	
#2 194497		-0.29	-0.01	
#2 195200		-0.20	-0.01	
#2 198109		-0.44	 0.07	
#2 198390		-0.32	 0.05	
#2 199085		-0.11	-0.04	
#2 200580		-0.54	 0.06	
#2 201835		-0.39	 0.13	
#2 204306		-0.66	 0.14	
#2 204559		-0.36	 0.06	
#2 209320		-0.18	 0.08	
#2 210640		-0.36	 0.03	
#2 210718		-0.34	 0.08	
#2 210985		-0.57	 0.08	
#2 214576		-0.55	 0.09	
#2 216631		-0.39	-0.03	
#2 218059		-0.27	 0.06	
#2 218470		-0.06	 0.03	
#2 218637		-0.30	 0.16	
#2 219497		-0.51	 0.09	
#2 220908		-0.16	 0.04	
#2 221356		-0.24	 0.01	
#2 223854		-0.58	 0.10	
6 HD2796   -2.47    0.25
6 BDp173248   -2.07    0.19
6 BS16467m062   -3.77    0.16
6 BS16477m003   -3.36    0.28
6 BS17569m049   -2.88    0.25
6 CS22172m002   -3.86    0.20
6 CS22186m025   -3.00    0.36
6 CS22873m055   -2.99    0.42
6 CS22873m166   -2.97    0.52
6 CS22896m154   -2.69    0.08
6 CS22966m057   -2.62    0.12
6 CS29491m053   -3.04    0.53
6 CS29495m041   -2.82    0.33
6 CS29502m042   -3.19    0.23
6 CS29516m024   -3.06    0.48
6 CS29518m051   -2.69    0.20
6 CS30325m094   -3.30    0.38
9 HD076932   -0.95    0.38
9 HD106516   -0.72    0.25
9 HD001562   -0.32    0.18
9 HD004256   0.08    0.08
9 HD009826   0.10    0.09
9 HD019019   -0.17    0.15
9 HD020630   0.08    -0.12
9 HD029310   0.08    0.00
9 HD050281   -0.20    -0.02
9 HD064468   0.00    0.10
9 HD075767   -0.01    0.11
9 HD094765   -0.01    0.06
9 HD110833   0.00    -0.04
9 HD112758   -0.56    0.19
9 HD137107   0.00    0.05
9 HD144287   -0.15    0.07
9 HD165476   -0.06    0.01
9 HD165670   -0.10    -0.03
9 HD187897   0.08    0.05
9 HD195005   -0.06    0.12
9 HD199960   0.23    0.02
9 HD211472   -0.04    0.00
9 HD107213   0.07    0.14
9 HD004628   -0.36    0.21
9 HD090875   0.24    -0.14
9 HD182736   -0.06    0.04
9 HD215065   -0.43    0.00
9 HD219396   -0.10    0.16
9 HD224930   -0.91    0.42
10 HIP2413   -1.96    0.25
10 HIP3026   -1.32    0.27
10 HIP3554   -2.92    0.76
10 HIP14594   -2.13    0.52
10 HIP18915   -1.85    0.38
10 HIP19797   -1.68    0.34
10 HIP21609   -1.76    0.34
10 HIP21648   -1.88    0.71
10 HIP23344   -2.84    0.58
10 HIP24316   -1.71    0.30
10 HIP27654   -0.94    0.46
10 HIP29759   -2.17    0.54
10 HIP29992   -1.71    0.33
10 HIP30668   -1.50    0.25
10 HIP33582   -0.74    0.47
10 HIP38621   -1.81    0.43
10 HIP40778   -1.70    0.42
10 HIP42592   -2.08    0.26
10 HIP44124   -1.96    0.37
10 HIP44716   -1.08    0.36
10 HIP48152   -2.08    0.35
10 HIP52771   -1.98    0.38
10 HIP54858   -1.17    0.21
10 HIP55022   -0.90    0.40
10 HIP57850   -1.78    0.45
10 HIP58357   -0.65    0.31
10 HIP59109   -2.62    0.62
10 HIP60632   -1.65    0.43
10 HIP61824   -2.44    0.56
10 HIP68594   -2.79    0.63
10 HIP69746   -2.41    0.51
10 HIP70647   -2.99    0.72
10 HIP73385   -1.59    0.56
10 HIP76976   -2.51    0.47
10 HIP85855   -2.70    0.55
10 HIP86443   -2.32    0.52
10 HIP87693   -2.11    0.46
10 HIP88010   -1.49    0.40
10 HIP96115   -2.41    0.58
10 HIP98020   -1.67    0.26
10 HIP99423   -1.50    0.41
10 HIP100792   -1.23    0.28
10 HIP103269   -1.81    0.29
10 HIP109067   -0.97    0.36
10 HIP109558   -1.63    0.40
10 HIP114962   -1.54    0.29
10 HIP115167   -1.77    0.33
10 HIP117041   -0.88    0.53
10 G97m40   -1.57    0.14
10 G110m43   -2.19    0.41
10 G88m42   -1.72    0.18
10 G90m36   -1.75    0.28
10 G114m42   -1.12    0.23
10 G116m53   -1.12    0.08
10 G197m30   -1.69    0.12
10 G166m37   -1.40    0.10
10 G15m13   -1.69    0.09
10 G16m25   -1.82    0.11
10 G93m1   -1.58    0.27
10 HIP484   -1.19    0.23
10 HIP2618   -1.93    0.37
10 HIP46822   -1.29    0.06
10 HIP52781   -1.67    0.32
10 HIP58139   -2.14    0.17
10 HIP58896   -1.97    0.08
10 HIP60846   -2.28    0.27
10 HIP67822   -1.57    0.44
10 HIP96248   -1.73    0.31
10 HIP98339   -2.93    0.38
10 HIP57983   -2.25    0.32
10 HIP70199   -1.99    0.44
10 HIP19701   -2.10    0.31
10 HIP66378   -2.19    0.32
10 HIP102447   -2.36    0.32
10 HIP105993   -1.16    0.09
10 HIP7459   -1.15    0.18
10 G005m040   -0.83    0.28
10 HIP34285   -0.90    0.03
10 HIP36818   -0.83    0.04
10 HIP45554   -0.75    0.07
10 HIP58962   -0.80    0.11
10 W7547   -0.42    0.04
10 HIP63559   -0.93    0.14
10 HIP63559   -0.91    0.14
10 HIP63918   -0.65    0.23
10 HIP67863   -0.70    0.26
10 HIP59490   -1.26    0.36
10 G171m050   -2.74    0.43
10 G158m100   -2.55    0.27
10 G033m031   -1.12    0.29
10 G005m019   -1.16    0.20
10 G037m037   -2.35    0.21
10 HIP15904   -1.76    0.40
10 HIP16404   -2.32    0.38
10 G095m060   -1.64    0.18
10 HIP19814   -0.71    0.07
10 G082m023   -3.49    0.29
10 G247m027   -1.97    0.33
10 G084m052   -1.64    0.54
10 HIP28104   -2.13    0.25
10 HIP36513   -2.55    0.53
10 G046m005   -1.41    0.39
10 HIP44033   -1.12    0.32
10 HIP59376   -2.23    0.40
10 HIP66673   -3.45    0.63
10 HIP68321   -2.18    0.27
10 HIP68592   -3.28    0.47
10 G201m005   -2.50    0.42
10 G239m026   -2.20    0.27
10 HIP80003   -0.84    0.27
10 G170m021   -1.47    0.49
10 G184m007   -1.63    0.23
10 G262m021   -1.44    0.13
10 G144m028   -2.14    0.36
10 HIP106447   -2.49    0.41
10 G188m020   -1.58    0.31
10 HIP108200   -1.90    0.34
10 G018m040   -1.93    0.30
10 G241m004   -1.57    0.11
10 G215m047   -1.39    0.33
10 G233m026   -1.45    0.21
10 G189m050   -1.47    0.15
10 G242m019   -2.12    0.37
10 G4m36   -1.93    -0.19
10 CS22966012   -1.91    -0.65
10 HIP71458   -2.08    0.42
10 HIP104191   -2.82    0.33
10 CS22189009   -3.44    0.40
10 CS22873166   -2.90    0.65
10 CS22873128   -2.88    0.52
10 CS22877011   -2.92    0.32
10 CS22878101   -3.13    0.43
10 CS22891200   -3.49    0.49
10 CS22885096   -3.79    0.46
10 CS22891209   -3.20    0.34
10 CS22897008   -3.35    0.28
10 CS22948066   -3.03    0.29
10 CS22949037   -3.99    1.20
10 CS22950046   -3.40    0.38
10 CS22949048   -3.17    0.22
10 CS22952015   -3.40    -0.18
10 CS22968014   -3.41    -0.06
10 HIP3635   -4.01    0.38
10 CS22172002   -3.57    0.49
10 CS22186005   -2.77    0.48
10 BS16547049   -3.01    0.49
10 CS22943137   -3.22    0.65
10 CS30308062   -2.92    0.43
10 BS16472070   -2.71    0.26
10 BS16968061   -3.08    0.48
10 CS22166030   -3.36    0.76
10 CS22953037   -2.94    0.40
10 CS29491084   -2.74    0.14
10 CS29499060   -2.63    0.18
10 G108m33   -2.69    0.62
10 CS22876032   -3.85    0.69
10 HIP7162   -2.07    0.19
10 HIP17001   -2.35    0.08
10 HIP101379   -2.80    0.28
10 HD69611   -0.58    0.39
10 HD221830   -0.52    0.47

# References
# 1: Fulbright (2000)
# 2: Reddy et al. (2003)
# 3: Cohen et al. (2004)
# 4: Barklem et al. (2005)
# 5: Reddy et al. (2006)
# 6: Cayrel et al. (2004)
# 9: Mishenina et al. (2013)
# 10: Venn et al. (2004)
