#  x	  y	   dy-	 dy+
-3.047	73.770	-25.285	26.197
-3.151	81.995	-26.675	27.045
-3.255	82.144	-26.457	27.831
-3.351	72.739	-24.251	27.444
-3.448	98.518	-37.104	30.405
-3.546	41.867	-18.132	19.930
-3.648	19.702	-12.109	12.643
-3.750	57.590	-21.802	23.085
-3.851	19.707	-12.151	12.631
-3.952	19.562	-11.941	12.799
-4.153	4.597	-2.430	2.584
-4.351	1.00	0.000	1.146
-4.452	1.00	0.000	1.163
-4.652	1.0	0.000	1.151
-4.753	2.0     -1.157	1.718
-4.847	1.0	0.000	1.152
-5.056	1.0	0.000	1.150
-5.158	1.0	0.000	1.168
-5.352	1.0	0.000	1.165
-5.650	1.0	0.000	1.158
-7.152	1.0	0.000	1.144
