#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
1 HIP171    -1.00    +0.55    +0.34
2     70		-0.35	-0.02	 0.08
2    153		-0.11	 0.06	 0.01
2    330		-0.27	 0.07	 0.00
2    912		-0.26	 0.09	 0.01
2   3079		-0.19	-0.03	-0.06
2   3440		-0.36	 0.10	-0.02
2   3454		-0.58	 0.11	 0.21
2   3532		-0.35	 0.11	 0.04
2   5065		-0.18	 0.06	 0.16
2   6250		-0.15	 0.05	 0.07
2   6312		-0.32	 0.00	 0.09
2   8671		-0.16	 0.03	 0.03
2   9091		-0.35	 0.10	 0.00
2   9670		-0.28	 0.11	 0.13
2  11007		-0.31	 0.05	 0.16
2  11045		-0.39	 0.19	 0.14
2  14877		-0.42	 0.09	-0.03
2  15398		-0.01	 0.02	-0.03
2  16067		-0.12	 0.06	 0.02
2  20427		-0.52	 0.12	-0.09
2  22255		-0.28	 0.10	 0.08
2  22521		-0.25	 0.09	 0.17
2  22718		-0.19	 0.09	-0.01
2  23438		-0.36	 0.07	 0.14
2  24421		-0.38	 0.04	 0.09
2  26421		-0.39	 0.12	 0.08
2  27816		-0.54	 0.14	 0.07
2  36066		-0.01	 0.11	 0.03
2  36667		-0.45	 0.14	 0.14
2  45067		-0.12	 0.07	-0.03
2  52711		-0.20	 0.06	 0.08
2  59360		-0.21	 0.06	 0.07
2  63333		-0.38	 0.05	 0.05
2  69897		-0.25	 0.10	 0.05
2  71148		-0.08	 0.04	 0.01
2  73400		-0.21	 0.10	 0.16
2  80218		-0.28	 0.11	 0.05
2  86884		-0.28	 0.08	 0.12
2  87838		-0.43	 0.14	 0.21
2  88446		-0.35	 0.15	 0.24
2  89010		-0.06	 0.04	 0.15
2  91638		-0.25	 0.09	 0.13
2  97037		-0.14	 0.06	 0.09
2  99126		-0.15	 0.11	 0.12
2 100067		-0.31	 0.07	 0.18
2 101472		-0.15	-0.02	-0.02
2 101676		-0.46	 0.17	 0.09
2 101716		-0.18	 0.13	-0.03
2 102080		-0.36	 0.05	 0.04
2 103891		-0.25	 0.06	 0.07
2 106510		-0.46	 0.10	 0.09
2 107038		-0.39	 0.09	 0.06
2 108134		-0.38	 0.03	-0.06
2 109154		-0.42	 0.07	 0.15
2 109303		-0.44	 0.07	 0.23
2 112756		-0.35	 0.10	 0.24
2 112887		-0.32	 0.11	 0.14
2 126053		-0.41	 0.04	 0.32
2 130253		-0.23	 0.08	-0.06
2 133641		-0.42	 0.06	 0.06
2 139457		-0.49	 0.08	 0.07
2 140750		-0.37	-0.05	 0.19
2 152986		-0.17	 0.03	-0.01
2 160078		-0.14	 0.02	 0.05
2 186379		-0.39	 0.08	 0.22
2 198089		-0.30	 0.07	 0.24
2 201444		-0.63	 0.12	 0.29
2 201490		-0.23	 0.04	 0.04
2 201639		-0.54	 0.09	 0.24
2 202884		-0.24	 0.04	 0.24
2 204712		-0.48	 0.11	 0.18
2 206860		-0.12	-0.11	 0.12
2 209858		-0.27	 0.00	 0.16
2 210457		-0.27	 0.03	 0.09
2 210923		-0.21	 0.05	 0.02
2 212858		-0.39	 0.04	 0.10
2 214111		-0.14	 0.01	 0.09
2 214435		-0.31	 0.04	-0.06
2 214557		-0.05	 0.07	 0.25
2 215442		-0.22	 0.08	 0.03
2 216106		-0.33	 0.12	 0.02
2 216385		-0.16	 0.07	-0.02
2 217877		-0.18	 0.05	 0.01
2 218172		-0.21	 0.00	 0.11
2 219306		-0.31	 0.10	-0.04
2 219476		-0.54	 0.12	 0.10
2 219983		-0.20	 0.02	-0.02
2 220842		-0.31	 0.08	 0.17
2 222155		-0.29	 0.11	 0.25
2 223436		-0.04	 0.05	 0.11
2 223583		-0.48	 0.11	-0.05
2 224233		-0.24	 0.09	 0.21
2 225239		-0.53	 0.11	 0.14
3 HE0143m0441   -2.18    0.49    1.67
4 CS22175m007   -2.63    0.23    1.54
4 CS29491m069   -2.85    0.30    1.62
4 CS29497m004   -2.92    0.38    0.72
4 CS30315m029   -3.01    0.33    1.66
4 HD20   -1.53    0.17    0.85
4 HD221170   -2.51    0.24    0.33
4 HE0045m2430   -2.35    0.37    0.17
4 HE0051m2304   -1.95    0.23    0.62
4 HE0057m4541   -3.26    0.25    0.68
4 HE0105m6141   -2.94    0.35    -0.06
4 HE0111m1454   -3.03    0.37    1.62
4 HE0131m3953   -2.42    0.34    0.49
4 HE0202m2204   -2.03    0.22    0.73
4 HE0240m0807   -2.68    0.47    0.77
4 HE0300m0751   -2.77    0.62    0.65
4 HE0315p0000   -3.09    0.38    0.42
4 HE0328m1047   -2.7    0.35    0.60
4 HE0337m5127   -2.56    0.33    1.89
4 HE0338m3945   -2.83    -0.04    0.69
4 HE0341m4024   -2.03    0.29    1.16
4 HE0430m4901   -2.67    0.17    1.25
4 HE0432m0923   -2.47    0.32    0.52
4 HE0442m1234   -2.33    0.19    0.30
4 HE0501m5644   -2.35    0.29    0.37
4 HE0512m3835   -2.74    0.34    0.67
4 HE0516m3820   -2.47    0.24    0.49
4 HE0524m2055   -2.54    0.32    0.49
4 HE0534m4615   -1.96    0.22    0.51
4 HE0538m4515   -2.96    0.13    -0.01
4 HE0858m0016   -2.60    0.35    0.94
4 HE1044m2509   -2.37    0.47    1.81
4 HE1105p0027   -2.64    0.31    1.08
4 HE1127m1143   -2.66    0.23    0.87
4 HE1131p0141   -2.33    0.38    0.25
4 HE1132p0204   -2.48    0.20    0.33
4 HE1135p0139   -2.52    0.41    0.35
4 HE1212m0127   -2.11    0.13    0.49
4 HE1214m1819   -2.89    0.42    1.41
4 HE1219m0312   -3.31    0.80    0.60
4 HE1222m0200   -1.99    0.09    0.25
4 HE1225p0155   -3.35    0.50    0.22
4 HE1247m2114   -2.90    0.26    0.51
4 HE1256m0228   -2.83    0.26    0.53
4 HE1311m1412   -2.93    0.32    0.17
4 HE1314m3036   -2.73    0.25    0.16
4 HE1330m0607   -2.28    0.10    0.48
4 HE1332m0309   -2.60    0.37    0.72
4 HE1430p0053   -1.97    0.33    0.47
4 HE2134p0001   -3.19    0.36    -0.01
4 HE2143p0030   -2.33    0.37    0.21
4 HE2153m2719   -2.44    0.36    0.45
4 HE2154m2838   -1.80    0.18    0.68
4 HE2155p0136   -3.08    0.77    0.02
4 HE2158m3112   -2.74    0.36    0.62
4 HE2206m2245   -3.18    0.22    0.58
4 HE2216m1548   -1.65    0.17   -0.15
4 HE2217m0706   -2.68    0.42    1.05
4 HE2224p0143   -3.02    0.33    0.45
4 HE2229m4153   -2.15    0.28    0.56
4 HE2242m1930   -1.56    0.18    0.95
4 HE2244m1503   -2.17    0.31    0.53
4 HE2252m4157   -1.88    0.25    0.99
4 HE2252m4225   -2.24    0.22    0.98
4 HE2301m4024   -2.73    0.24    1.22
4 HE2327m5642   -1.78    0.29   -0.25
5 HIP3185      -0.65     0.40    0.60
5 HIP3441      -0.50     0.32    0.42
5 HIP4039      -1.24     0.30    0.88
5 HIP4544      -0.87     0.39    0.53
5 HIP5122      -0.62     0.26    0.40
5 HIP5315      -0.47     0.46    0.43
5 HIP5336      -0.86     0.24    0.34
5 HIP5775      -0.59     0.32    0.43
5 HIP6159      -0.67     0.33    0.46
5 HIP6607      -0.41     0.18    0.41
5 HIP7961      -0.64     0.35    0.28
5 HIP9080      -0.37     0.14    0.19
5 HIP10652      -0.67     0.24    0.39
5 HIP12579      -0.80     0.26    0.37
5 HIP13366      -0.70     0.37    0.29
5 HIP15405      -0.73     0.16    0.24
5 HIP17147      -0.87     0.44    0.42
5 HIP17666      -1.03     0.35    0.57
5 HIP22020      -0.35     0.24    0.21
5 HIP22060      -0.63     0.28    0.47
5 HIP23080      -0.32     0.24    0.40
5 HIP25860      -0.35     0.29    0.35
5 HIP26452      -0.89     0.33    0.41
5 HIP26828      -0.34     0.23    0.13
5 HIP27128      -0.81     0.33    0.40
5 HIP29269      -0.68     0.36    0.29
5 HIP31188      -0.59     0.12    0.17
5 HIP34642      -0.44     0.10    0.15
5 HIP35989      -0.19     -0.03    0.13
5 HIP36849      -0.77     0.27    0.39
5 HIP37233      -0.51     0.36    0.36
5 HIP38769      -0.79     0.34    0.26
5 HIP39893      -0.84     0.29    0.53
5 HIP40613      -0.62     0.39    0.24
5 HIP43393      -0.59     0.20    0.33
5 HIP44075      -0.86     0.27    0.35
5 HIP44347      -0.85     0.43    0.52
5 HIP44860      -0.51     0.37    0.39
5 HIP45947      -0.46     0.25    0.57
5 HIP50005      -0.53     0.30    0.42
5 HIP50671      -0.48     0.13    0.17
5 HIP50965      -0.57     0.26    0.34
5 HIP52673      -0.66     0.27    0.40
5 HIP58843      -0.79     0.28    0.44
5 HIP59233      -0.83     0.38    0.12
5 HIP59750      -0.74     0.32    0.32
5 HIP60268      -0.72     0.28    0.41
5 HIP60956      -0.58     0.22    0.44
5 HIP62240      -0.83     0.33    0.57
5 HIP64426      -0.71     0.33    0.21
